session,neuron
a2a_3245_180410,179
oprm1_5703_190130,3
a2a_3244_180405,341
oprm1_5308_190131,132
oprm1_5703_190116,70
d1_5652_190131,19
#oprm1_5703_190114,147
oprm1_5464_190205,12
oprm1_5308_190205,63
oprm1_5308_190131,276
oprm1_5703_190126,43
a2a_6043_190126,103
#oprm1_5703_190116,73
d1_5643_190114,62
a2a_3245_180410,41
a2a_3245_180405,0
d1_5652_190128,20
oprm1_5703_190126,91
oprm1_5308_190204,40
a2a_3242_180330,242
oprm1_5703_190130,11
oprm1_5308_190204,225
oprm1_5308_190204,6
oprm1_5703_190201,13
d1_3517_180404,205
d1_5643_190128,79
oprm1_5574_190129,37
d1_5643_190114,0
oprm1_5574_190129,30
#a2a_3245_180405,20
d1_5643_190128,7
oprm1_5574_190129,26
oprm1_5703_190130,15

